"filename", "language", "Python", "HTML", "pip requirements", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"d:\Midum\jarvis_project\midum_pkg\gui\legacy\dialogs.py", "Python", 545, 0, 0, 0, 0, 0, 44, 118, 707
"d:\Midum\jarvis_project\midum_pkg\gui\v2\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\gui\voice_overlay.py", "Python", 90, 0, 0, 0, 0, 0, 21, 25, 136
"d:\Midum\jarvis_project\midum_pkg\hotkeys.py", "Python", 224, 0, 0, 0, 0, 0, 94, 36, 354
"d:\Midum\jarvis_project\midum_pkg\index.html", "HTML", 0, 893, 0, 0, 0, 0, 29, 86, 1008
"d:\Midum\jarvis_project\midum_pkg\knowledge_base.py", "Python", 468, 0, 0, 0, 0, 0, 177, 79, 724
"d:\Midum\jarvis_project\midum_pkg\launcher.py", "Python", 243, 0, 0, 0, 0, 0, 47, 40, 330
"d:\Midum\jarvis_project\midum_pkg\main.py", "Python", 351, 0, 0, 0, 0, 0, 40, 48, 439
"d:\Midum\jarvis_project\midum_pkg\memory.py", "Python", 298, 0, 0, 0, 0, 0, 24, 53, 375
"d:\Midum\jarvis_project\midum_pkg\midum_mcp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\midum_mcp\manager.py", "Python", 311, 0, 0, 0, 0, 0, 101, 65, 477
"d:\Midum\jarvis_project\midum_pkg\midum_mcp\tools.py", "Python", 121, 0, 0, 0, 0, 0, 112, 17, 250
"d:\Midum\jarvis_project\midum_pkg\multi_agent.py", "Python", 287, 0, 0, 0, 0, 0, 96, 53, 436
"d:\Midum\jarvis_project\midum_pkg\orchestration.py", "Python", 528, 0, 0, 0, 0, 0, 1667, 25, 2220
"d:\Midum\jarvis_project\midum_pkg\permissions.py", "Python", 129, 0, 0, 0, 0, 0, 86, 39, 254
"d:\Midum\jarvis_project\midum_pkg\project_memory.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\Midum\jarvis_project\midum_pkg\providers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\providers\gemini_api_backend.py", "Python", 274, 0, 0, 0, 0, 0, 94, 52, 420
"d:\Midum\jarvis_project\midum_pkg\providers\gemini_live_backend.py", "Python", 337, 0, 0, 0, 0, 0, 144, 56, 537
"d:\Midum\jarvis_project\midum_pkg\providers\gemini_reasoning.py", "Python", 44, 0, 0, 0, 0, 0, 48, 15, 107
"d:\Midum\jarvis_project\midum_pkg\providers\gemini_web_backend.py", "Python", 380, 0, 0, 0, 0, 0, 249, 80, 709
"d:\Midum\jarvis_project\midum_pkg\providers\groq_backend.py", "Python", 279, 0, 0, 0, 0, 0, 73, 59, 411
"d:\Midum\jarvis_project\midum_pkg\providers\ollama_cloud_backend.py", "Python", 187, 0, 0, 0, 0, 0, 41, 39, 267
"d:\Midum\jarvis_project\midum_pkg\providers\openrouter_backend.py", "Python", 265, 0, 0, 0, 0, 0, 88, 53, 406
"d:\Midum\jarvis_project\midum_pkg\requirements.txt", "pip requirements", 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Midum\jarvis_project\midum_pkg\scheduler.py", "Python", 249, 0, 0, 0, 0, 0, 80, 64, 393
"d:\Midum\jarvis_project\midum_pkg\screen_capture.py", "Python", 444, 0, 0, 0, 0, 0, 107, 82, 633
"d:\Midum\jarvis_project\midum_pkg\skills.py", "Python", 49, 0, 0, 0, 0, 0, 5, 8, 62
"d:\Midum\jarvis_project\midum_pkg\state.py", "Python", 5, 0, 0, 0, 0, 0, 21, 6, 32
"d:\Midum\jarvis_project\midum_pkg\system_prompt.py", "Python", 314, 0, 0, 0, 0, 0, 13, 10, 337
"d:\Midum\jarvis_project\midum_pkg\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\tools\user_prompt_tools.py", "Python", 135, 0, 0, 0, 0, 0, 49, 33, 217
"d:\Midum\jarvis_project\midum_pkg\tools_registry.py", "Python", 1145, 0, 0, 0, 0, 0, 241, 185, 1571
"d:\Midum\jarvis_project\midum_pkg\tools_schema.py", "Python", 2368, 0, 0, 0, 0, 0, 12, 4, 2384
"d:\Midum\jarvis_project\midum_pkg\ui_automation\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Midum\jarvis_project\midum_pkg\ui_automation\linux_navigator.py", "Python", 411, 0, 0, 0, 0, 0, 103, 70, 584
"d:\Midum\jarvis_project\midum_pkg\ui_automation\windows_uia.py", "Python", 979, 0, 0, 0, 0, 0, 237, 123, 1339
"d:\Midum\jarvis_project\midum_pkg\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\utils\path_resolver.py", "Python", 76, 0, 0, 0, 0, 0, 12, 17, 105
"Total", "-", 21982, 1008, 31, 283, 211, 31, 6171, 2961, 32678
